3;24;001;00187;00049;02620;00055268;00011554;02091;07942;00014548;02632;00011554;02091;00008564;07412;00001246;01078;00000555;00480;00001189;01030;000;15;16;29;
3;24;002;00242;00064;02645;00071431;00015139;02119;07958;00019024;02663;00015139;02119;00011222;07413;00001631;01077;00000723;00478;00001563;01032;000;15;16;29;
3;24;003;00006;00006;10000;00000281;00000217;07722;07722;00000281;10000;00000217;07722;00000169;07788;00000021;00968;00000008;00369;00000019;00875;000;15;16;29;
3;24;999;00435;00119;02736;00126980;00026910;02119;07949;00033853;02666;00026910;02119;00019955;07415;00002898;01077;00001286;00478;00002771;01030;003;15;16;29;
8;24;001;00187;00049;02620;00055268;00011554;02091;07942;00014548;02632;00011554;02091;00005672;04909;00001827;01581;00001707;01477;00002348;02033;000;15;16;29;
8;24;002;00242;00064;02645;00071431;00015139;02119;07958;00019024;02663;00015139;02119;00007429;04907;00002390;01579;00002239;01479;00003081;02035;000;15;16;29;
8;24;003;00006;00006;10000;00000281;00000217;07722;07722;00000281;10000;00000217;07722;00000116;05346;00000032;01475;00000030;01382;00000039;01797;000;15;16;29;
8;24;999;00435;00119;02736;00126980;00026910;02119;07949;00033853;02666;00026910;02119;00013217;04912;00004249;01579;00003976;01478;00005468;02031;000;15;16;29;
9;24;001;00187;00049;02620;00055268;00011740;02124;08070;00014548;02632;00011740;02124;00005280;04497;00001942;01654;00001942;01654;00002576;02195;000;15;16;29;
9;24;002;00242;00064;02645;00071431;00015397;02156;08093;00019024;02663;00015397;02156;00006922;04496;00002545;01653;00002545;01653;00003385;02198;000;15;16;29;
9;24;003;00006;00006;10000;00000281;00000217;07722;07722;00000281;10000;00000217;07722;00000108;04977;00000033;01521;00000033;01521;00000043;01981;000;15;16;29;
9;24;999;00435;00119;02736;00126980;00027354;02154;08080;00033853;02666;00027354;02154;00012310;04500;00004520;01652;00004520;01652;00006004;02196;001;15;16;29;
1;24;001;00187;00049;02620;00055268;00011554;02091;07942;00014548;02632;00011554;02091;00009721;08414;00001015;00878;00000091;00079;00000727;00629;000;15;16;29;
1;24;002;00242;00064;02645;00071431;00015139;02119;07958;00019024;02663;00015139;02119;00012735;08412;00001330;00879;00000119;00079;00000955;00630;000;15;16;29;
1;24;003;00006;00006;10000;00000281;00000217;07722;07722;00000281;10000;00000217;07722;00000192;08848;00000016;00737;00000000;00000;00000009;00415;000;15;16;29;
1;24;999;00435;00119;02736;00126980;00026910;02119;07949;00033853;02666;00026910;02119;00022648;08416;00002361;00877;00000210;00078;00001691;00629;000;15;16;29;
